step,input_c,buffer_c,entropy,is_decoherent
0,0.7465,0.5123,3.8928,0
1,0.8956,0.5315,3.8748,0
2,0.7360,0.5417,3.8569,0
3,0.8095,0.5551,3.8404,0
4,0.8504,0.5699,3.8272,0
5,0.7373,0.5782,3.8155,0
6,0.8092,0.5898,3.8040,0
7,0.8469,0.6026,3.7977,0
8,0.8006,0.6125,3.7970,0
9,0.9434,0.6291,3.7984,0
10,0.7166,0.6335,3.8039,0
11,0.8529,0.6444,3.8157,0
12,0.7914,0.6518,3.8237,0
13,0.8386,0.6611,3.8331,0
14,0.8221,0.6692,3.8422,0
15,0.7633,0.6739,3.8498,0
16,0.8114,0.6808,3.8554,0
17,0.7071,0.6821,3.8625,0
18,0.8302,0.6895,3.8669,0
19,0.8149,0.6957,3.8673,0
20,0.8319,0.7026,3.8742,0
21,0.8529,0.7101,3.8750,0
22,0.8184,0.7155,3.8785,0
23,0.8074,0.7201,3.8784,0
24,0.7559,0.7219,3.8794,0
25,0.7644,0.7240,3.8813,0
26,0.8593,0.7308,3.8786,0
27,0.8718,0.7378,3.8807,0
28,0.7881,0.7403,3.8794,0
29,0.8023,0.7434,3.8769,0
30,0.7548,0.7440,3.8746,0
31,0.8586,0.7497,3.8727,0
32,0.8333,0.7539,3.8713,0
33,0.8971,0.7611,3.8689,0
34,0.7561,0.7608,3.8646,0
35,0.7811,0.7618,3.8584,0
36,0.8116,0.7643,3.8565,0
37,0.8323,0.7677,3.8528,0
38,0.7892,0.7688,3.8497,0
39,0.7564,0.7682,3.8448,0
40,0.8441,0.7720,3.8406,0
41,0.8361,0.7752,3.8382,0
42,0.7542,0.7741,3.8337,0
43,0.8678,0.7788,3.8294,0
44,0.8585,0.7828,3.8283,0
45,0.8067,0.7840,3.8226,0
46,0.8040,0.7850,3.8198,0
47,0.8277,0.7871,3.8169,0
48,0.7569,0.7856,3.8113,0
49,0.8015,0.7864,3.8107,0
50,0.6924,0.7817,3.8152,0
51,0.8438,0.7848,3.8113,0
52,0.7219,0.7817,3.8115,0
53,0.8752,0.7863,3.8079,0
54,0.7835,0.7862,3.8049,0
55,0.7894,0.7864,3.8053,0
56,0.7686,0.7855,3.8016,0
57,0.7856,0.7855,3.7993,0
58,0.8709,0.7898,3.7993,0
59,0.6756,0.7840,3.7964,0
60,0.8638,0.7880,3.7982,0
61,0.8169,0.7895,3.7970,0
62,0.7396,0.7870,3.7919,0
63,0.7462,0.7849,3.7928,0
64,0.8838,0.7899,3.7918,0
65,0.7527,0.7880,3.7896,0
66,0.7423,0.7857,3.7890,0
67,0.8569,0.7893,3.7911,0
68,0.8169,0.7907,3.7934,0
69,0.7531,0.7888,3.7919,0
70,0.8108,0.7899,3.7928,0
71,0.7487,0.7878,3.7891,0
72,0.8550,0.7912,3.7888,0
73,0.8531,0.7943,3.7887,0
74,0.8266,0.7959,3.7848,0
75,0.8181,0.7970,3.7850,0
76,0.8881,0.8016,3.7814,0
77,0.8000,0.8015,3.7847,0
78,0.7409,0.7985,3.7842,0
79,0.8225,0.7997,3.7826,0
80,0.9043,0.8049,3.7865,0
81,0.7493,0.8021,3.7851,0
82,0.7819,0.8011,3.7853,0
83,0.8208,0.8021,3.7877,0
84,0.7973,0.8019,3.7876,0
85,0.7509,0.7993,3.7867,0
86,0.8561,0.8021,3.7894,0
87,0.9160,0.8078,3.7896,0
88,0.8098,0.8079,3.7906,0
89,0.7548,0.8053,3.7907,0
90,0.7226,0.8011,3.7873,0
91,0.8129,0.8017,3.7845,0
92,0.8552,0.8044,3.7846,0
93,0.8238,0.8054,3.7819,0
94,0.7999,0.8051,3.7842,0
95,0.7705,0.8034,3.7862,0
96,0.7454,0.8005,3.7834,0
97,0.8417,0.8025,3.7864,0
98,0.8457,0.8047,3.7887,0
99,0.7227,0.8006,3.7858,0
100,0.1295,0.7981,3.7876,0
101,0.0787,0.7956,3.7885,0
102,0.1200,0.7931,3.7884,0
103,0.0000,0.7906,3.7864,0
104,0.0000,0.7881,3.7866,0
105,0.0426,0.7856,3.7861,0
106,0.0751,0.7831,3.7856,0
107,0.1398,0.7806,3.7877,0
108,0.0853,0.7781,3.7888,0
109,0.0379,0.7756,3.7885,0
110,0.0000,0.7731,3.7860,0
111,0.1115,0.7706,3.7866,0
112,0.0018,0.7681,3.7913,0
113,0.1314,0.7656,3.7909,0
114,0.0358,0.7631,3.7893,0
115,0.1295,0.7606,3.7873,0
116,0.0839,0.7581,3.7892,0
117,0.0432,0.7556,3.7894,0
118,0.0240,0.7531,3.7895,0
119,0.0330,0.7506,3.7902,0
120,0.0714,0.7481,3.7897,0
121,0.0539,0.7456,3.7893,0
122,0.0203,0.7431,3.7917,0
123,0.0417,0.7406,3.7878,0
124,0.0539,0.7381,3.7871,0
125,0.0000,0.7356,3.7884,0
126,0.0729,0.7331,3.7883,0
127,0.0010,0.7306,3.7860,0
128,0.0000,0.7281,3.7885,0
129,0.0000,0.7256,3.7886,0
130,0.0000,0.7231,3.7905,0
131,0.0000,0.7206,3.7875,0
132,0.0145,0.7181,3.7897,0
133,0.1477,0.7156,3.7871,0
134,0.0237,0.7131,3.7894,0
135,0.0589,0.7106,3.7911,0
136,0.0700,0.7081,3.7887,0
137,0.0566,0.7056,3.7913,0
138,0.0461,0.7031,3.7906,0
139,0.0000,0.7006,3.7933,0
140,0.1225,0.6981,3.7938,0
141,0.1404,0.6956,3.7954,0
142,0.0000,0.6931,3.7940,0
143,0.0000,0.6906,3.7909,0
144,0.0360,0.6881,3.7920,0
145,0.0018,0.6856,3.7877,0
146,0.0753,0.6831,3.7906,0
147,0.0136,0.6806,3.7896,0
148,0.1583,0.6781,3.7909,0
149,0.1095,0.6756,3.7922,0
150,0.7106,0.6773,3.7906,0
151,0.7513,0.6810,3.7909,0
152,0.7553,0.6848,3.7917,0
153,0.6718,0.6841,3.7907,0
154,0.6592,0.6829,3.7896,0
155,0.7039,0.6839,3.7924,0
156,0.7431,0.6869,3.7914,0
157,0.7070,0.6879,3.7935,0
158,0.6212,0.6845,3.7951,0
159,0.6599,0.6833,3.7963,0
160,0.6963,0.6840,3.7918,0
161,0.6962,0.6846,3.7917,0
162,0.7986,0.6903,3.7937,0
163,0.6307,0.6873,3.7927,0
164,0.7253,0.6892,3.7940,0
165,0.7745,0.6935,3.7971,0
166,0.8136,0.6995,3.7923,0
167,0.6798,0.6985,3.7920,0
168,0.7246,0.6998,3.7898,0
169,0.7285,0.7012,3.7888,0
170,0.7098,0.7016,3.7895,0
171,0.6951,0.7013,3.7883,0
172,0.7218,0.7023,3.7942,0
173,0.5734,0.6959,3.7923,0
174,0.7341,0.6978,3.7904,0
175,0.7063,0.6982,3.7925,0
176,0.6889,0.6978,3.7936,0
177,0.8023,0.7030,3.7913,0
178,0.6663,0.7012,3.7938,0
179,0.6798,0.7001,3.7903,0
180,0.7996,0.7051,3.7887,0
181,0.6584,0.7027,3.7896,0
182,0.6725,0.7012,3.7911,0
183,0.6926,0.7008,3.7927,0
184,0.7420,0.7029,3.7944,0
185,0.7104,0.7032,3.7929,0
186,0.6354,0.6998,3.7941,0
187,0.6734,0.6985,3.7908,0
188,0.6696,0.6971,3.7910,0
189,0.6961,0.6970,3.7925,0
190,0.7213,0.6982,3.7937,0
191,0.7209,0.6994,3.7944,0
192,0.6112,0.6950,3.7964,0
193,0.7532,0.6979,3.7939,0
194,0.7126,0.6986,3.7954,0
195,0.7692,0.7021,3.7943,0
196,0.7222,0.7031,3.7936,0
197,0.7551,0.7057,3.7972,0
198,0.7233,0.7066,3.7930,0
199,0.7673,0.7097,3.7958,0
200,0.7261,0.7105,3.7953,0
201,0.6951,0.7097,3.7950,0
202,0.8136,0.7149,3.7897,0
203,0.7445,0.7164,3.7923,0
204,0.7287,0.7170,3.7894,0
205,0.6362,0.7130,3.7927,0
206,0.6356,0.7091,3.7881,0
207,0.7146,0.7094,3.7946,0
208,0.7073,0.7093,3.7941,0
209,0.6693,0.7073,3.7927,0
210,0.7070,0.7073,3.7916,0
211,0.7794,0.7109,3.7937,0
212,0.7348,0.7121,3.7903,0
213,0.6429,0.7086,3.7900,0
214,0.6944,0.7079,3.7864,0
215,0.6598,0.7055,3.7901,0
216,0.6806,0.7042,3.7876,0
217,0.6793,0.7030,3.7881,0
218,0.6761,0.7017,3.7871,0
219,0.6372,0.6984,3.7876,0
220,0.6936,0.6982,3.7867,0
221,0.6720,0.6969,3.7879,0
222,0.5535,0.6897,3.7882,0
223,0.8026,0.6954,3.7874,0
224,0.7544,0.6983,3.7891,0
225,0.6812,0.6975,3.7837,0
226,0.7009,0.6976,3.7875,0
227,0.6414,0.6948,3.7894,0
228,0.7848,0.6993,3.7856,0
229,0.7949,0.7041,3.7882,0
230,0.7078,0.7043,3.7885,0
231,0.7512,0.7066,3.7897,0
232,0.7088,0.7067,3.7867,0
233,0.6332,0.7031,3.7868,0
234,0.6794,0.7019,3.7914,0
235,0.7066,0.7021,3.7920,0
236,0.6773,0.7009,3.7879,0
237,0.6891,0.7003,3.7899,0
238,0.6954,0.7000,3.7919,0
239,0.6960,0.6998,3.7911,0
240,0.7026,0.7000,3.7914,0
241,0.6470,0.6973,3.7925,0
242,0.6641,0.6957,3.7941,0
243,0.6358,0.6927,3.7953,0
244,0.7489,0.6955,3.7931,0
245,0.5947,0.6904,3.7913,0
246,0.7577,0.6938,3.7912,0
247,0.7693,0.6976,3.7915,0
248,0.6849,0.6969,3.7915,0
249,0.5698,0.6906,3.7913,0
250,0.6819,0.6902,3.7891,0
251,0.6968,0.6905,3.7905,0
252,0.6495,0.6884,3.7895,0
253,0.6742,0.6877,3.7891,0
254,0.7765,0.6922,3.7905,0
255,0.7332,0.6942,3.7915,0
256,0.6538,0.6922,3.7884,0
257,0.6201,0.6886,3.7926,0
258,0.6836,0.6883,3.7944,0
259,0.6893,0.6884,3.7902,0
260,0.7248,0.6902,3.7924,0
261,0.6732,0.6894,3.7922,0
262,0.7256,0.6912,3.7938,0
263,0.7968,0.6965,3.7938,0
264,0.7408,0.6987,3.7876,0
265,0.6976,0.6986,3.7868,0
266,0.6908,0.6982,3.7886,0
267,0.6822,0.6974,3.7884,0
268,0.7590,0.7005,3.7881,0
269,0.6686,0.6989,3.7859,0
270,0.7023,0.6991,3.7856,0
271,0.7026,0.6993,3.7889,0
272,0.6749,0.6980,3.7904,0
273,0.6314,0.6947,3.7908,0
274,0.7161,0.6958,3.7887,0
275,0.6969,0.6958,3.7901,0
276,0.7250,0.6973,3.7916,0
277,0.6733,0.6961,3.7917,0
278,0.7610,0.6993,3.7937,0
279,0.6562,0.6972,3.7876,0
280,0.7856,0.7016,3.7887,0
281,0.6126,0.6972,3.7897,0
282,0.7217,0.6984,3.7880,0
283,0.7238,0.6997,3.7902,0
284,0.6602,0.6977,3.7894,0
285,0.7212,0.6989,3.7887,0
286,0.7640,0.7021,3.7897,0
287,0.5892,0.6965,3.7892,0
288,0.7251,0.6979,3.7898,0
289,0.5753,0.6918,3.7914,0
290,0.6517,0.6898,3.7899,0
291,0.7815,0.6944,3.7901,0
292,0.6709,0.6932,3.7895,0
293,0.6413,0.6906,3.7883,0
294,0.6901,0.6906,3.7895,0
295,0.8034,0.6962,3.7871,0
296,0.6084,0.6918,3.7920,0
297,0.6474,0.6896,3.7922,0
298,0.7749,0.6939,3.7919,0
299,0.7929,0.6988,3.7913,0
